"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R27","RESC1005X40N","54.1mm","30.225mm","54.1mm","30.225mm","54.1mm","29.725mm","T","90.00","Res-0402-10K"
"R3","RESC1005X40N","13.962mm","17.78mm","13.962mm","17.78mm","13.462mm","17.78mm","T","360.00","Res-0402-10K"
"R54","RESC1005X40N","58.8mm","55mm","58.8mm","55mm","58.8mm","54.5mm","T","90.00","Res-0402-1K"
"R30","RESC1005X40N","46.378mm","34.5mm","46.378mm","34.5mm","46.378mm","34mm","T","90.00","Res-0402-10K"
"R53","RESC1005X40N","40.25mm","55mm","40.25mm","55mm","40.25mm","54.5mm","T","90.00","Res-0402-1K"
"R51","RESC1005X40N","21.7mm","55mm","21.7mm","55mm","21.7mm","54.5mm","T","90.00","Res-0402-1K"
"R40","RESC1005X40N","20.701mm","18.796mm","20.701mm","18.796mm","20.701mm","19.296mm","T","270.00","Res-0402-0R"
"R1","RESC1005X40N","8.882mm","17.78mm","8.882mm","17.78mm","8.382mm","17.78mm","T","360.00","Res-0402-47K"
"R39","RESC1005X40N","21.844mm","16.51mm","21.844mm","16.51mm","21.844mm","16.01mm","T","90.00","Res-0402-0R"
"R61","RESC1005X40N","21.45mm","29.9mm","21.45mm","29.9mm","21.95mm","29.9mm","T","180.00","Res-0402-1K"
"R60","RESC1005X40N","69.3215mm","19.38mm","69.3215mm","19.38mm","69.8215mm","19.38mm","T","180.00","Res-0402-1K"
"R59","RESC1005X40N","69.3215mm","17.98mm","69.3215mm","17.98mm","69.8215mm","17.98mm","T","180.00","Res-0402-1K"
"R58","RESC1005X40N","69.3215mm","16.58mm","69.3215mm","16.58mm","69.8215mm","16.58mm","T","180.00","Res-0402-1K"
"R47","RESC1005X40N","41.2mm","13.4mm","41.2mm","13.4mm","41.7mm","13.4mm","T","180.00","Res-0402-0R"
"R48","RESC1005X40N","41.2mm","14.6mm","41.2mm","14.6mm","41.7mm","14.6mm","T","180.00","Res-0402-0R"
"R11","RESC1005X40N","36.8mm","11mm","36.8mm","11mm","36.3mm","11mm","T","360.00","Res-0402-100R"
"R2","RESC1005X40N","3.818mm","17.78mm","3.818mm","17.78mm","3.318mm","17.78mm","T","360.00","Res-0402-47K"
"R10","RESC1005X40N","41.2mm","12.2mm","41.2mm","12.2mm","40.7mm","12.2mm","T","360.00","Res-0402-100R"
"R6","RESC1005X40N","39mm","11mm","39mm","11mm","38.5mm","11mm","T","360.00","Res-0402-2K2"
"R5","RESC1005X40N","41.2mm","11mm","41.2mm","11mm","41.7mm","11mm","T","180.00","Res-0402-2K2"
"R12","RESC1005X40N","44mm","28.7mm","44mm","28.7mm","44mm","29.2mm","T","270.00","Res-0402-10K"
"LD10","LED_1608-0603","21.45mm","31.3mm","21.45mm","31.3mm","22.3mm","31.3mm","T","180.00","YELLOW"
"L1","Res_2012-0805","8.3mm","8.8mm","8.3mm","8.8mm","9.25mm","8.8mm","T","180.00","Ferrite Bead SMD 0805"
"J6","Micro-USB_B_Molex_105017-0001","3.25mm","11.2mm","4.6mm","11.2mm","1.9mm","14.7mm","T","270.00","Micro-USB B Socket"
"I2C","HDR1X4-HEADER","37.338mm","8.871mm","33.528mm","8.871mm","33.528mm","8.871mm","T","360.00","Header 4"
"C6","CAP_1005-0402","8.5mm","14.5mm","8.5mm","14.5mm","8mm","14.5mm","T","360.00","CapC-0402-100nF"
"C4","CAPC2012X135N","17.3mm","26.55mm","17.3mm","26.55mm","17.3mm","25.65mm","T","90.00","CapC-0805-10uF 6.3V"
"C5","CAP_1005-0402","54.1mm","27.925mm","54.1mm","27.925mm","54.1mm","27.425mm","T","90.00","CapC-0402-100nF"
"C14","CAP_1005-0402","22.733mm","26.035mm","22.733mm","26.035mm","22.733mm","26.535mm","T","270.00","CapC-0402-100nF"
"C13","CAP_1005-0402","38.1mm","13.462mm","38.1mm","13.462mm","37.6mm","13.462mm","T","360.00","CapC-0402-100nF"
"C12","CAP_1005-0402","41.656mm","28.702mm","41.656mm","28.702mm","41.656mm","28.202mm","T","90.00","CapC-0402-100nF"
"C11","CAP_1005-0402","26.424mm","32.258mm","26.424mm","32.258mm","26.924mm","32.258mm","T","180.00","CapC-0402-100nF"
"C10","CAP_1005-0402","26.9mm","13.45mm","26.9mm","13.45mm","26.4mm","13.45mm","T","360.00","CapC-0402-100nF"
"C9","CAP_1005-0402","26.9mm","12.3mm","26.9mm","12.3mm","26.4mm","12.3mm","T","360.00","CapC-0402-4.7uF-10V"
"C3","CAP_1005-0402","37.1mm","12.3mm","37.1mm","12.3mm","37.6mm","12.3mm","T","180.00","CapC-0402-4.7uF-10V"
"C2","CAP_1005-0402","42.8mm","27.9mm","42.8mm","27.9mm","42.8mm","28.4mm","T","270.00","CapC-0402-4.7uF-10V"
"C8","CAP_1005-0402","22.987mm","18.796mm","22.987mm","18.796mm","22.987mm","19.296mm","T","270.00","CapC-0402-100nF"
"C7","CAP_1005-0402","21.844mm","18.796mm","21.844mm","18.796mm","21.844mm","19.296mm","T","270.00","CapC-0402-4.7uF-10V"
"BOOT1","HDR1X2-HEADER","49.784mm","34.544mm","51.054mm","34.544mm","51.054mm","34.544mm","T","180.00","Header 2"
"LD9","LED_1608-0603","71.9715mm","19.38mm","71.9715mm","19.38mm","71.1215mm","19.38mm","T","360.00","GREEN"
"LD8","LED_1608-0603","71.9715mm","17.98mm","71.9715mm","17.98mm","71.1215mm","17.98mm","T","360.00","GREEN"
"PROBE","HDR1X4-HEADER","98.44mm","47.91mm","98.44mm","44.1mm","98.44mm","44.1mm","T","90.00","Header 4"
"U10","TQFP80P1200X1200X160-44N","86.614mm","46.5455mm","86.614mm","46.5455mm","92.314mm","42.5455mm","T","180.00","TMC2660"
"C54","CAP_1005-0402","83.82mm","39.243mm","83.82mm","39.243mm","83.32mm","39.243mm","T","360.00","CapC-0402-100nF-50V"
"C48","CAP_1005-0402","86.995mm","39.243mm","86.995mm","39.243mm","86.495mm","39.243mm","T","360.00","CapC-0402-100nF"
"C56","CAP_1005-0402","89.281mm","53.9115mm","89.281mm","53.9115mm","88.781mm","53.9115mm","T","360.00","CapC-0402-470nF"
"C51","Cap_1608-0603","87.7675mm","35.8775mm","87.7675mm","35.8775mm","87.7675mm","35.0275mm","T","90.00","CapC-0603-1uF 50V"
"C58","CAP_1005-0402","92.71mm","56.388mm","92.71mm","56.388mm","92.71mm","56.888mm","T","270.00","CapC-0402-100nF"
"C60","CAP_1005-0402","79.756mm","55.1815mm","79.756mm","55.1815mm","79.256mm","55.1815mm","T","360.00","CapC-0402-100nF"
"R80","RESC1005X40N","91.7575mm","53.9115mm","91.7575mm","53.9115mm","91.2575mm","53.9115mm","T","360.00","Res-0402-22R"
"R81","Res_3216-1206","94.4245mm","50.9905mm","94.4245mm","50.9905mm","94.4245mm","52.4405mm","T","270.00","Res-1206-0R05"
"R84","RESC1005X40N","81.534mm","53.9115mm","81.534mm","53.9115mm","82.034mm","53.9115mm","T","180.00","Res-0402-22R"
"R85","Res_3216-1206","78.8035mm","50.9905mm","78.8035mm","50.9905mm","78.8035mm","52.4405mm","T","270.00","Res-1206-0R05"
"E1-MOTOR","HDR2X4-HEADER","86.6039mm","57.398mm","90.414mm","58.668mm","90.4139mm","58.668mm","T","180.00","Header 4X2"
"E0-MOTOR","HDR2X4-HEADER","68.0619mm","57.398mm","71.872mm","58.668mm","71.8719mm","58.668mm","T","180.00","Header 4X2"
"R83","Res_3216-1206","60.2615mm","50.9905mm","60.2615mm","50.9905mm","60.2615mm","52.4405mm","T","270.00","Res-1206-0R05"
"R82","RESC1005X40N","62.992mm","53.9115mm","62.992mm","53.9115mm","63.492mm","53.9115mm","T","180.00","Res-0402-22R"
"R79","Res_3216-1206","75.8825mm","50.9905mm","75.8825mm","50.9905mm","75.8825mm","52.4405mm","T","270.00","Res-1206-0R05"
"R78","RESC1005X40N","73.2155mm","53.9115mm","73.2155mm","53.9115mm","72.7155mm","53.9115mm","T","360.00","Res-0402-22R"
"C59","CAP_1005-0402","61.214mm","55.1815mm","61.214mm","55.1815mm","60.714mm","55.1815mm","T","360.00","CapC-0402-100nF"
"C57","CAP_1005-0402","74.9935mm","55.1815mm","74.9935mm","55.1815mm","75.4935mm","55.1815mm","T","180.00","CapC-0402-100nF"
"C49","Cap_1608-0603","72.7535mm","35.8775mm","72.7535mm","35.8775mm","72.7535mm","35.0275mm","T","90.00","CapC-0603-1uF 50V"
"C52","CAP_EL_PANASONIC","77.216mm","37.2483mm","77.216mm","34.798mm","77.216mm","39.6486mm","T","360.00","CapE-6.3-100uF-35V"
"C55","CAP_1005-0402","70.739mm","53.9115mm","70.739mm","53.9115mm","70.239mm","53.9115mm","T","360.00","CapC-0402-470nF"
"C47","CAP_1005-0402","68.453mm","39.243mm","68.453mm","39.243mm","67.953mm","39.243mm","T","360.00","CapC-0402-100nF"
"C53","CAP_1005-0402","65.278mm","39.243mm","65.278mm","39.243mm","64.778mm","39.243mm","T","360.00","CapC-0402-100nF-50V"
"U9","TQFP80P1200X1200X160-44N","68.072mm","46.5455mm","68.072mm","46.5455mm","73.772mm","42.5455mm","T","180.00","TMC2660"
"U8","TQFP80P1200X1200X160-44N","49.53mm","46.5455mm","49.53mm","46.5455mm","55.23mm","42.5455mm","T","180.00","TMC2660"
"C37","CAP_1005-0402","46.736mm","39.243mm","46.736mm","39.243mm","46.236mm","39.243mm","T","360.00","CapC-0402-100nF-50V"
"C29","CAP_1005-0402","49.911mm","39.243mm","49.911mm","39.243mm","49.411mm","39.243mm","T","360.00","CapC-0402-100nF"
"C40","CAP_1005-0402","52.197mm","53.9115mm","52.197mm","53.9115mm","51.697mm","53.9115mm","T","360.00","CapC-0402-470nF"
"C50","CAP_EL_PANASONIC","58.674mm","37.2483mm","58.674mm","34.798mm","58.674mm","39.6486mm","T","360.00","CapE-6.3-100uF-35V"
"C34","Cap_1608-0603","54.1655mm","35.8775mm","54.1655mm","35.8775mm","54.1655mm","35.0275mm","T","90.00","CapC-0603-1uF 50V"
"C43","CAP_1005-0402","56.4515mm","55.1815mm","56.4515mm","55.1815mm","56.9515mm","55.1815mm","T","180.00","CapC-0402-100nF"
"C46","CAP_1005-0402","42.672mm","55.1815mm","42.672mm","55.1815mm","42.172mm","55.1815mm","T","360.00","CapC-0402-100nF"
"R70","RESC1005X40N","54.6735mm","53.9115mm","54.6735mm","53.9115mm","54.1735mm","53.9115mm","T","360.00","Res-0402-22R"
"R71","Res_3216-1206","57.3405mm","50.9905mm","57.3405mm","50.9905mm","57.3405mm","52.4405mm","T","270.00","Res-1206-0R05"
"R76","RESC1005X40N","44.45mm","53.9115mm","44.45mm","53.9115mm","44.95mm","53.9115mm","T","180.00","Res-0402-22R"
"R77","Res_3216-1206","41.7195mm","50.9905mm","41.7195mm","50.9905mm","41.7195mm","52.4405mm","T","270.00","Res-1206-0R05"
"Z-MOTOR","HDR2X4-HEADER","49.5199mm","57.398mm","53.33mm","58.668mm","53.3299mm","58.668mm","T","180.00","Header 4X2"
"Z-STOP","HDR1X3-HEADER","58.41mm","58.668mm","55.87mm","58.668mm","55.87mm","58.668mm","T","360.00","Header 3"
"R73","Res_3216-1206","4.572mm","50.8mm","4.572mm","50.8mm","4.572mm","52.25mm","T","270.00","Res-1206-0R05"
"C27","CAP_1005-0402","12.827mm","39.243mm","12.827mm","39.243mm","12.327mm","39.243mm","T","360.00","CapC-0402-100nF"
"C38","CAP_1005-0402","15.113mm","53.9115mm","15.113mm","53.9115mm","14.613mm","53.9115mm","T","360.00","CapC-0402-470nF"
"C31","CAP_EL_PANASONIC","21.59mm","37.2483mm","21.59mm","34.798mm","21.59mm","39.6486mm","T","360.00","CapE-6.3-100uF-35V"
"C30","Cap_1608-0603","17.0815mm","35.8775mm","17.0815mm","35.8775mm","17.0815mm","35.0275mm","T","90.00","CapC-0603-1uF 50V"
"C35","CAP_1005-0402","9.652mm","39.243mm","9.652mm","39.243mm","9.152mm","39.243mm","T","360.00","CapC-0402-100nF-50V"
"C41","CAP_1005-0402","19.3675mm","55.1815mm","19.3675mm","55.1815mm","19.8675mm","55.1815mm","T","180.00","CapC-0402-100nF"
"C44","CAP_1005-0402","5.715mm","53.848mm","5.715mm","53.848mm","5.215mm","53.848mm","T","360.00","CapC-0402-100nF"
"R66","RESC1005X40N","17.5895mm","53.9115mm","17.5895mm","53.9115mm","17.0895mm","53.9115mm","T","360.00","Res-0402-22R"
"R67","Res_3216-1206","20.2565mm","50.9905mm","20.2565mm","50.9905mm","20.2565mm","52.4405mm","T","270.00","Res-1206-0R05"
"R72","RESC1005X40N","8.128mm","53.848mm","8.128mm","53.848mm","8.628mm","53.848mm","T","180.00","Res-0402-22R"
"U6","TQFP80P1200X1200X160-44N","12.446mm","46.5455mm","12.446mm","46.5455mm","18.146mm","42.5455mm","T","180.00","TMC2660"
"X-MOTOR","HDR2X4-HEADER","12.4359mm","57.398mm","16.246mm","58.668mm","16.2459mm","58.668mm","T","180.00","Header 4X2"
"X-STOP","HDR1X3-HEADER","21.326mm","58.668mm","18.786mm","58.668mm","18.786mm","58.668mm","T","360.00","Header 3"
"Y-STOP","HDR1X3-HEADER","39.868mm","58.668mm","37.328mm","58.668mm","37.328mm","58.668mm","T","360.00","Header 3"
"Y-MOTOR","HDR2X4-HEADER","30.9779mm","57.398mm","34.788mm","58.668mm","34.7879mm","58.668mm","T","180.00","Header 4X2"
"U7","TQFP80P1200X1200X160-44N","30.988mm","46.5455mm","30.988mm","46.5455mm","36.688mm","42.5455mm","T","180.00","TMC2660"
"R75","Res_3216-1206","23.1775mm","50.9905mm","23.1775mm","50.9905mm","23.1775mm","52.4405mm","T","270.00","Res-1206-0R05"
"R74","RESC1005X40N","25.908mm","53.9115mm","25.908mm","53.9115mm","26.408mm","53.9115mm","T","180.00","Res-0402-22R"
"R69","Res_3216-1206","38.7985mm","50.9905mm","38.7985mm","50.9905mm","38.7985mm","52.4405mm","T","270.00","Res-1206-0R05"
"R68","RESC1005X40N","36.1315mm","53.9115mm","36.1315mm","53.9115mm","35.6315mm","53.9115mm","T","360.00","Res-0402-22R"
"C45","CAP_1005-0402","24.13mm","55.1815mm","24.13mm","55.1815mm","23.63mm","55.1815mm","T","360.00","CapC-0402-100nF"
"C42","CAP_1005-0402","37.9095mm","55.1815mm","37.9095mm","55.1815mm","38.4095mm","55.1815mm","T","180.00","CapC-0402-100nF"
"C32","Cap_1608-0603","35.6695mm","35.8775mm","35.6695mm","35.8775mm","35.6695mm","35.0275mm","T","90.00","CapC-0603-1uF 50V"
"C33","CAP_EL_PANASONIC","40.132mm","37.2483mm","40.132mm","34.798mm","40.132mm","39.6486mm","T","360.00","CapE-6.3-100uF-35V"
"C39","CAP_1005-0402","33.655mm","53.9115mm","33.655mm","53.9115mm","33.155mm","53.9115mm","T","360.00","CapC-0402-470nF"
"C28","CAP_1005-0402","31.369mm","39.243mm","31.369mm","39.243mm","30.869mm","39.243mm","T","360.00","CapC-0402-100nF"
"U5","SOT229P700X180-4N","70.4215mm","29.1465mm","70.4215mm","29.1465mm","67.4965mm","29.1465mm","T","180.00","AP2114H-3.3TRG1"
"R62","RESC1005X40N","82.669mm","24.003mm","82.669mm","24.003mm","82.669mm","24.503mm","T","270.00","Res-0402-1K"
"C17","Cap_1608-0603","81.9mm","12.6mm","81.9mm","12.6mm","81.05mm","12.6mm","T","360.00","CapC-0603-1uF 50V"
"C36","CAP_1005-0402","28.194mm","39.243mm","28.194mm","39.243mm","27.694mm","39.243mm","T","360.00","CapC-0402-100nF-50V"
"R24","RESC1005X40N","44.831mm","15.113mm","44.831mm","15.113mm","44.831mm","15.613mm","T","270.00","Res-0402-1K"
"R25","RESC1005X40N","46.101mm","15.113mm","46.101mm","15.113mm","46.101mm","15.613mm","T","270.00","Res-0402-100K"
"R21","RESC1005X40N","47.371mm","15.113mm","47.371mm","15.113mm","47.371mm","15.613mm","T","270.00","Res-0402-10R"
"Q1","SOT23-3_New","46.101mm","11.938mm","46.101mm","11.938mm","47.051mm","13.088mm","T","270.00","MOSFET - AO3400A"
"LD1","LED_1608-0603","46.101mm","17.018mm","46.101mm","17.018mm","45.251mm","17.018mm","T","360.00","GREEN"
"Q5","LFPACK","88.151mm","15.6004mm","84.5mm","17.505mm","84.5mm","13.695mm","T","270.00","PSMN1R8-40YLC"
"HE0","TERM2_3.5mm","46.455mm","6mm","48.205mm","6mm","48.205mm","6mm","T","180.00","Screw Terminal 3.5mm 2-Way"
"LD3","LED_1608-0603","49.911mm","17.018mm","49.911mm","17.018mm","49.061mm","17.018mm","T","360.00","GREEN"
"Q3","SOT23-3_New","49.911mm","11.938mm","49.911mm","11.938mm","50.861mm","13.088mm","T","270.00","MOSFET - AO3400A"
"R31","RESC1005X40N","51.181mm","15.113mm","51.181mm","15.113mm","51.181mm","15.613mm","T","270.00","Res-0402-10R"
"R33","RESC1005X40N","49.911mm","15.113mm","49.911mm","15.113mm","49.911mm","15.613mm","T","270.00","Res-0402-100K"
"R32","RESC1005X40N","48.641mm","15.113mm","48.641mm","15.113mm","48.641mm","15.613mm","T","270.00","Res-0402-1K"
"Q4","SOT23-3_New","57.531mm","11.938mm","57.531mm","11.938mm","58.481mm","13.088mm","T","270.00","MOSFET - AO3400A"
"Q6","SOT23-3_New","61.341mm","11.938mm","61.341mm","11.938mm","62.291mm","13.088mm","T","270.00","MOSFET - AO3400A"
"HE1","TERM2_3.5mm","53.455mm","6mm","55.205mm","6mm","55.205mm","6mm","T","180.00","Screw Terminal 3.5mm 2-Way"
"EXP2","HDR2X5_exp_Iner_only\","33.2138mm","3.68mm","24.13mm","0.108mm","28.1338mm","2.41mm","T","360.00","Header 5X2"
"EXP1","HDR2X5_exp_Iner_only\","15.0528mm","3.68mm","5.969mm","0.108mm","9.9728mm","2.41mm","T","360.00","Header 5X2"
"Q2","SOT23-3_New","53.721mm","11.938mm","53.721mm","11.938mm","54.671mm","13.088mm","T","270.00","MOSFET - AO3400A"
"C21","CAP_EL_PANASONIC","89.281mm","29.6807mm","89.281mm","32.131mm","89.281mm","27.2804mm","T","180.00","CapE-6.3-100uF-35V"
"C22","CAP_3225-1210","85.082mm","23.241mm","85.082mm","23.241mm","85.082mm","21.741mm","T","90.00","CapC-1210-4.7uF-50V"
"C20","CAP_1005-0402","75.4mm","22mm","75.4mm","22mm","75.4mm","22.5mm","T","270.00","CapC-0402-100nF"
"C19","CAP_1005-0402","65.2145mm","24.003mm","65.2145mm","24.003mm","65.2145mm","23.503mm","T","90.00","CapC-0402-4.7uF-10V"
"C18","CAP_1005-0402","60.071mm","24.003mm","60.071mm","24.003mm","60.071mm","23.503mm","T","90.00","CapC-0402-4.7uF-10V"
"C16","CAP_1005-0402","54.991mm","24.003mm","54.991mm","24.003mm","54.991mm","23.503mm","T","90.00","CapC-0402-4.7uF-10V"
"C15","CAP_1005-0402","49.9745mm","24.003mm","49.9745mm","24.003mm","49.9745mm","23.503mm","T","90.00","CapC-0402-4.7uF-10V"
"C24","CAPC2012X135N","75.8365mm","30.1625mm","75.8365mm","30.1625mm","75.8365mm","29.2625mm","T","90.00","CapC-0805-4.7uF 10V"
"C25","CAP_1005-0402","73.3mm","24.9mm","73.3mm","24.9mm","73.8mm","24.9mm","T","180.00","CapC-0402-4.7uF-10V"
"C26","CAP_EL_5mm","65.9257mm","34.798mm","65.9384mm","34.798mm","67.818mm","34.798mm","T","270.00","CapE-5.0-100uF-6.3V"
"D1","SC-85","12.8mm","9.2mm","12.8mm","9.2mm","11.85mm","9.85mm","T","270.00","Diode Schottky 700mA 20V"
"HB-OUT1","TERM2_5MM","88.373mm","6.1mm","85.873mm","6.1mm","85.873mm","6.1mm","T","360.00","Screw Terminal 5mm 2-Way"
"HB-PWR1","TERM2_5MM","78.373mm","6.1mm","75.873mm","6.1mm","75.873mm","6.1mm","T","360.00","Screw Terminal 5mm 2-Way"
"U4","SOT23-6N","79.875mm","23.2535mm","79.875mm","23.241mm","78.925mm","22.066mm","T","90.00","AOZ1282CI"
"L2","SRN6045TA_SMD_Inductor","82.296mm","29.5275mm","82.296mm","29.5275mm","82.296mm","27.4525mm","T","180.00","Inductor SMD 33uH 2.5A"
"LD5","LED_1608-0603","78.6mm","18.15mm","78.6mm","18.15mm","77.75mm","18.15mm","T","360.00","GREEN"
"LD6","LED_1608-0603","61.341mm","17.018mm","61.341mm","17.018mm","60.491mm","17.018mm","T","360.00","GREEN"
"LD2","LED_1608-0603","53.721mm","17.018mm","53.721mm","17.018mm","52.871mm","17.018mm","T","360.00","GREEN"
"LD4","LED_1608-0603","57.531mm","17.018mm","57.531mm","17.018mm","56.681mm","17.018mm","T","360.00","GREEN"
"MAIN-PWR1","TERM2_5MM","68.373mm","6.1mm","65.873mm","6.1mm","65.873mm","6.1mm","T","360.00","Screw Terminal 5mm 2-Way"
"PS_ON","HDR1X2-HEADER","83.82mm","35.052mm","85.09mm","35.052mm","85.09mm","35.052mm","T","180.00","Header 2"
"R63","RESC1005X40N","76.7935mm","24.3205mm","76.7935mm","24.3205mm","76.7935mm","23.8205mm","T","90.00","Res-0402-54.9K"
"R65","RESC1005X40N","76.7935mm","22.0345mm","76.7935mm","22.0345mm","76.7935mm","21.5345mm","T","90.00","Res-0402-10K"
"R41","RESC1005X40N","79.865mm","16.31mm","79.865mm","16.31mm","79.865mm","16.81mm","T","270.00","Res-0402-10R"
"R46","RESC1005X40N","78.595mm","16.31mm","78.5949mm","16.31mm","78.595mm","15.81mm","T","90.00","Res-0402-100K"
"R43","RESC1005X40N","77.325mm","16.31mm","77.325mm","16.31mm","77.325mm","16.81mm","T","270.00","Res-0402-1K"
"R49","RESC1005X40N","46.0375mm","24.003mm","46.0375mm","24.003mm","46.0375mm","23.503mm","T","90.00","Res-0402-4K7"
"R50","RESC1005X40N","51.181mm","24.003mm","51.181mm","24.003mm","51.181mm","23.503mm","T","90.00","Res-0402-4K7"
"R56","RESC1005X40N","61.341mm","24.003mm","61.341mm","24.003mm","61.341mm","23.503mm","T","90.00","Res-0402-4K7"
"R34","RESC1005X40N","58.801mm","15.113mm","58.801mm","15.113mm","58.801mm","15.613mm","T","270.00","Res-0402-10R"
"R37","RESC1005X40N","57.531mm","15.113mm","57.531mm","15.113mm","57.531mm","15.613mm","T","270.00","Res-0402-100K"
"R42","RESC1005X40N","62.611mm","15.113mm","62.611mm","15.113mm","62.611mm","15.613mm","T","270.00","Res-0402-10R"
"R45","RESC1005X40N","61.341mm","15.113mm","61.341mm","15.113mm","61.341mm","15.613mm","T","270.00","Res-0402-100K"
"R44","RESC1005X40N","60.071mm","15.113mm","60.071mm","15.113mm","60.071mm","15.613mm","T","270.00","Res-0402-1K"
"R26","RESC1005X40N","54.991mm","15.113mm","54.991mm","15.113mm","54.991mm","15.613mm","T","270.00","Res-0402-10R"
"R29","RESC1005X40N","53.721mm","15.113mm","53.721mm","15.113mm","53.721mm","15.613mm","T","270.00","Res-0402-100K"
"R28","RESC1005X40N","52.451mm","15.113mm","52.451mm","15.113mm","52.451mm","15.613mm","T","270.00","Res-0402-1K"
"R36","RESC1005X40N","56.261mm","15.113mm","56.261mm","15.113mm","56.261mm","15.613mm","T","270.00","Res-0402-1K"
"FAN_VDD_SEL1","HDR1X3-HEADER","65.151mm","16.002mm","65.151mm","18.542mm","65.151mm","18.542mm","T","270.00","Header 3"
"C23","CAPC2012X135N","77.6365mm","30.1625mm","77.6365mm","30.1625mm","77.6365mm","29.2625mm","T","90.00","CapC-0805-4.7uF 10V"
